source_text	target_text
The government announced new policies.	Le gouvernement a annoncé de nouvelles politiques.
The election results were surprising.	Les résultats des élections ont été surprenants.
The parliament passed the new law.	Le parlement a adopté la nouvelle loi.
The political party won the majority.	Le parti politique a remporté la majorité.
The minister gave a press conference.	Le ministre a donné une conférence de presse.
The citizens protested in the streets.	Les citoyens ont manifesté dans les rues.
The opposition criticized the decision.	L'opposition a critiqué la décision.
The president made an important speech.	Le président a prononcé un discours important.
The new policy aims to reduce poverty.	La nouvelle politique vise à réduire la pauvreté.
The debate lasted for several hours.	Le débat a duré plusieurs heures.
The senate approved the budget.	Le sénat a approuvé le budget.
The candidate won the primary.	Le candidat a remporté les primaires.
The coalition government was formed.	Le gouvernement de coalition a été formé.
The ambassador met with foreign leaders.	L'ambassadeur a rencontré les dirigeants étrangers.
The constitution was amended.	La constitution a été modifiée.
The political scandal broke the news.	Le scandale politique a fait la une.
The committee reached a consensus.	Le comité a atteint un consensus.
The minister resigned from office.	Le ministre a démissionné de ses fonctions.
The election campaign began.	La campagne électorale a commencé.
The parliament debated the issue.	Le parlement a débattu de la question.
The president signed the treaty.	Le président a signé le traité.
The opposition boycotted the vote.	L'opposition a boycotté le vote.
The government faced criticism.	Le gouvernement a fait face à des critiques.
The political reform was implemented.	La réforme politique a été mise en œuvre.
The election turnout was high.	La participation électorale a été élevée.
The minister announced new measures.	Le ministre a annoncé de nouvelles mesures.
The coalition partners disagreed.	Les partenaires de coalition n'étaient pas d'accord.
The political crisis deepened.	La crise politique s'est approfondie.
The parliament held a special session.	Le parlement a tenu une session spéciale.
The president addressed the nation.	Le président s'est adressé à la nation.
The opposition demanded transparency.	L'opposition a exigé de la transparence.
The government launched a new initiative.	Le gouvernement a lancé une nouvelle initiative.
The political alliance was formed.	L'alliance politique a été formée.
The minister faced questions.	Le ministre a fait face à des questions.
The parliament rejected the proposal.	Le parlement a rejeté la proposition.
The election results were contested.	Les résultats des élections ont été contestés.
The government defended its position.	Le gouvernement a défendu sa position.
The political debate intensified.	Le débat politique s'est intensifié.
The minister visited the region.	Le ministre a visité la région.
The parliament passed new regulations.	Le parlement a adopté de nouveaux règlements.
The president met with advisors.	Le président a rencontré ses conseillers.
The opposition organized protests.	L'opposition a organisé des manifestations.
The government announced reforms.	Le gouvernement a annoncé des réformes.
The political landscape changed.	Le paysage politique a changé.
The minister presented the report.	Le ministre a présenté le rapport.
The parliament discussed the bill.	Le parlement a discuté du projet de loi.
The president appointed new officials.	Le président a nommé de nouveaux fonctionnaires.
The opposition questioned the policy.	L'opposition a remis en question la politique.
The government faced challenges.	Le gouvernement a fait face à des défis.
The political tensions increased.	Les tensions politiques ont augmenté. 